x,y,tempo
380.928517679606, 273.30891131506, 12:39:30:077
381.25936365218, 273.431260971067, 12:39:30:088
382.270325365521, 274.114322525361, 12:39:30:099
382.989452361819, 275.265994343348, 12:39:30:111
383.555243628133, 279.006063937605, 12:39:30:122
383.579878613095, 279.368995428031, 12:39:30:132
383.616421083429, 280.306567080422, 12:39:30:143
382.171312194636, 280.690266708161, 12:39:30:155
382.447898574621, 281.063700058788, 12:39:30:166
382.17797559874, 280.636501713331, 12:39:30:177
381.669955857355, 278.957723980776, 12:39:30:189
382.160475135066, 279.813910077158, 12:39:30:198
380.285231773467, 276.655354424525, 12:39:30:210
380.372962893303, 276.8620160051, 12:39:30:222
380.291272191906, 276.415978679207, 12:39:30:232
379.329303985626, 274.670110049826, 12:39:30:243
378.285064020205, 272.992885047402, 12:39:30:254
374.154927853942, 271.938438704995, 12:39:30:265
372.427690029992, 271.228660723803, 12:39:30:277
372.314194895551, 269.839992275847, 12:39:30:288
372.860174133332, 269.901221452607, 12:39:30:300
372.489345202336, 269.875104536367, 12:39:30:310
372.788015616411, 268.564489638773, 12:39:30:322
373.064795795437, 268.293525911615, 12:39:30:335
372.656950724122, 266.753005210551, 12:39:30:344
372.703263322634, 267.278172729107, 12:39:30:355
370.055419357914, 265.46938009366, 12:39:30:365
369.402059911659, 265.345382625844, 12:39:30:378
369.480638439625, 265.200280569824, 12:39:30:389
369.551060173815, 265.244767405785, 12:39:30:398
370.534479741296, 264.352581657815, 12:39:30:410
370.702988996095, 263.864192810115, 12:39:30:421
368.598696255818, 260.906010984606, 12:39:30:433
367.919887608681, 258.922520650979, 12:39:30:443
368.808205274558, 258.278491251857, 12:39:30:454
369.346898986384, 258.094434841062, 12:39:30:464
369.369555750013, 257.468655853277, 12:39:30:478
368.863138532282, 255.612766507845, 12:39:30:488
368.894436078992, 255.392168610066, 12:39:30:499
368.530952350329, 254.103135418132, 12:39:30:511
369.556963086933, 254.169955137294, 12:39:30:522
369.890531310293, 254.094168470497, 12:39:30:532
370.203459479017, 254.335947200932, 12:39:30:544
371.267161264671, 254.70463410802, 12:39:30:555
372.684472615948, 255.168631563595, 12:39:30:566
374.189493856747, 255.526551929097, 12:39:30:577
375.510475956973, 255.956871771413, 12:39:30:589
